Methods,Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,ARLIDX,USP,TASRID,TAR,loss,specificity,sensitivity,accuracy,geometric_mean
mixed_CS=T,cyclic,0.95,30,0.005,7.923333,0.0,0.081212,0.438237,0.168971,0.569474,0.48,0.565,0.522826
Unlu_CS=T,cyclic,0.95,30,0.005,13.506667,0.0,0.086694,0.319477,0.6828,0.661053,0.22,0.639,0.381355
mixed_CS=T,cyclic,0.95,50,0.005,6.803333,0.0,0.054766,0.499421,0.175399,0.506316,0.46,0.504,0.482603
Unlu_CS=T,cyclic,0.95,50,0.005,9.1,0.0,0.057851,0.401019,0.661745,0.613684,0.36,0.601,0.470028
mixed_CS=T,cyclic,0.95,80,0.005,8.526667,0.0,0.048981,0.364711,0.168664,0.628421,0.26,0.61,0.404215
Unlu_CS=T,cyclic,0.95,80,0.005,7.553333,0.0,0.04168,0.328512,0.680615,0.669474,0.18,0.645,0.347139
mixed_CS=T,cyclic,0.95,30,0.08,5.333333,0.0,0.067493,0.471625,0.172626,0.509474,0.44,0.506,0.473464
Unlu_CS=T,cyclic,0.95,30,0.08,10.96,0.0,0.123278,0.454821,0.683261,0.543158,0.42,0.537,0.477626
mixed_CS=T,cyclic,0.95,50,0.08,5.246667,0.0,0.066832,0.450826,0.165293,0.554737,0.42,0.548,0.48269
Unlu_CS=T,cyclic,0.95,50,0.08,27.972509,0.03,0.060634,0.196887,0.557962,0.831579,0.18,0.799,0.38689
mixed_CS=T,cyclic,0.95,80,0.08,3.85,0.0,0.022507,0.358375,0.163512,0.637895,0.36,0.624,0.47921
Unlu_CS=T,cyclic,0.95,80,0.08,9.303333,0.0,0.041377,0.313912,0.63436,0.665263,0.3,0.647,0.446743
mixed_CS=T,cyclic,0.95,30,0.155,3.25,0.0,0.058292,0.541983,0.175963,0.461053,0.62,0.469,0.534652
Unlu_CS=T,cyclic,0.95,30,0.155,4.723333,0.0,0.033774,0.400138,0.663113,0.628421,0.32,0.613,0.448436
mixed_CS=T,cyclic,0.95,50,0.155,9.746667,0.0,0.036887,0.266419,0.14204,0.731579,0.3,0.71,0.46848
Unlu_CS=T,cyclic,0.95,50,0.155,6.296667,0.0,0.075978,0.437493,0.672588,0.546316,0.44,0.541,0.490285
mixed_CS=T,cyclic,0.95,80,0.155,3.01,0.0,0.02259,0.394683,0.158306,0.617895,0.62,0.618,0.618946
Unlu_CS=T,cyclic,0.95,80,0.155,14.801347,0.01,0.081019,0.422342,0.663643,0.607368,0.38,0.596,0.480416
mixed_CS=T,cyclic,0.95,30,0.23,7.303333,0.0,0.034904,0.308127,0.159252,0.692632,0.36,0.676,0.499347
Unlu_CS=T,cyclic,0.95,30,0.23,13.116667,0.0,0.025647,0.22686,0.596033,0.771579,0.22,0.744,0.412004
mixed_CS=T,cyclic,0.95,50,0.23,5.81,0.0,0.039835,0.441019,0.162649,0.593684,0.54,0.591,0.566206
Unlu_CS=T,cyclic,0.95,50,0.23,7.896667,0.0,0.035702,0.324821,0.584129,0.668421,0.3,0.65,0.447802
mixed_CS=T,cyclic,0.95,80,0.23,3.22,0.0,0.022121,0.390165,0.155307,0.652632,0.7,0.655,0.675901
Unlu_CS=T,cyclic,0.95,80,0.23,10.586667,0.0,0.026336,0.340689,0.584152,0.693684,0.42,0.68,0.539766
mixed_CS=T,cyclic,0.95,30,0.305,6.273333,0.0,0.0327,0.304077,0.159805,0.707368,0.34,0.689,0.490413
Unlu_CS=T,cyclic,0.95,30,0.305,3.583333,0.0,0.024904,0.358127,0.580733,0.682105,0.36,0.666,0.495538
mixed_CS=T,cyclic,0.95,50,0.305,6.063333,0.0,0.030055,0.355399,0.162059,0.717895,0.5,0.707,0.599122
Unlu_CS=T,cyclic,0.95,50,0.305,15.237458,0.003333,0.023196,0.19135,0.495632,0.833684,0.26,0.805,0.465573
mixed_CS=T,cyclic,0.95,80,0.305,6.593333,0.0,0.019366,0.328072,0.139584,0.750526,0.7,0.748,0.724823
Unlu_CS=T,cyclic,0.95,80,0.305,5.506667,0.0,0.036556,0.386722,0.63502,0.622105,0.48,0.615,0.546453
mixed_CS=T,cyclic,0.95,30,0.38,6.99,0.0,0.043829,0.414793,0.161361,0.674737,0.42,0.662,0.532343
Unlu_CS=T,cyclic,0.95,30,0.38,6.973333,0.0,0.029477,0.29168,0.569594,0.724211,0.36,0.706,0.510603
mixed_CS=T,cyclic,0.95,50,0.38,12.52,0.0,0.044105,0.467603,0.133012,0.792632,0.62,0.784,0.701022
Unlu_CS=T,cyclic,0.95,50,0.38,15.806667,0.0,0.016143,0.219862,0.373782,0.876842,0.3,0.848,0.512887
mixed_CS=T,cyclic,0.95,80,0.38,6.566667,0.0,0.020165,0.357961,0.125833,0.76,0.78,0.761,0.769935
Unlu_CS=T,cyclic,0.95,80,0.38,26.589226,0.01,0.01876,0.135317,0.409757,0.910526,0.22,0.876,0.447567
mixed_CS=T,cyclic,0.95,30,0.455,9.096667,0.0,0.04719,0.455014,0.161637,0.682105,0.42,0.669,0.535242
Unlu_CS=T,cyclic,0.95,30,0.455,6.976667,0.0,0.017135,0.285317,0.431349,0.82,0.36,0.797,0.543323
mixed_CS=T,cyclic,0.95,50,0.455,12.773333,0.0,0.056143,0.480551,0.138374,0.793684,0.58,0.783,0.678481
Unlu_CS=T,cyclic,0.95,50,0.455,42.577061,0.07,0.033168,0.174242,0.388038,0.952632,0.34,0.922,0.569117
mixed_CS=T,cyclic,0.95,80,0.455,12.583333,0.0,0.018292,0.346474,0.115061,0.836842,0.72,0.831,0.776226
Unlu_CS=T,cyclic,0.95,80,0.455,40.784512,0.01,0.013912,0.182562,0.203195,0.964211,0.36,0.934,0.589165
mixed_CS=T,cyclic,0.95,30,0.53,12.04,0.0,0.055179,0.469229,0.136333,0.774737,0.48,0.76,0.609814
Unlu_CS=T,cyclic,0.95,30,0.53,17.223333,0.0,0.018347,0.205675,0.361142,0.909474,0.18,0.873,0.404605
mixed_CS=T,cyclic,0.95,50,0.53,10.57,0.0,0.083251,0.588567,0.135455,0.790526,0.6,0.781,0.688706
Unlu_CS=T,cyclic,0.95,50,0.53,17.55,0.0,0.013526,0.269394,0.342446,0.9,0.22,0.866,0.444972
mixed_CS=T,cyclic,0.95,80,0.53,10.036667,0.0,0.016639,0.378127,0.100247,0.838947,0.82,0.838,0.82942
Unlu_CS=T,cyclic,0.95,80,0.53,46.798658,0.006667,0.014408,0.209697,0.181178,0.975789,0.38,0.946,0.608934
mixed_CS=T,cyclic,0.95,30,0.605,11.993333,0.0,0.083196,0.544848,0.140103,0.806316,0.4,0.786,0.567914
Unlu_CS=T,cyclic,0.95,30,0.605,13.25,0.0,0.014986,0.267851,0.324188,0.907368,0.14,0.869,0.356415
mixed_CS=T,cyclic,0.95,50,0.605,18.77,0.0,0.169835,0.616006,0.105686,0.875789,0.7,0.867,0.782977
Unlu_CS=T,cyclic,0.95,50,0.605,21.65,0.0,0.016584,0.29022,0.28136,0.936842,0.28,0.904,0.512168
mixed_CS=T,cyclic,0.95,80,0.605,11.523333,0.0,0.015702,0.306033,0.068381,0.897895,0.88,0.897,0.888902
Unlu_CS=T,cyclic,0.95,80,0.605,36.803333,0.0,0.013223,0.230413,0.107101,0.989474,0.52,0.966,0.717305
mixed_CS=T,cyclic,0.95,30,0.68,11.026667,0.0,0.078182,0.607631,0.128699,0.869474,0.62,0.857,0.734216
Unlu_CS=T,cyclic,0.95,30,0.68,19.82,0.0,0.020193,0.294325,0.240137,0.966316,0.22,0.929,0.461074
mixed_CS=T,cyclic,0.95,50,0.68,12.673333,0.0,0.156116,0.734904,0.115886,0.843158,0.76,0.839,0.8005
Unlu_CS=T,cyclic,0.95,50,0.68,38.496667,0.0,0.022755,0.311708,0.172707,0.987368,0.22,0.949,0.46607
mixed_CS=T,cyclic,0.95,80,0.68,13.686667,0.0,0.017273,0.410413,0.077,0.874737,0.96,0.879,0.916377
Unlu_CS=T,cyclic,0.95,80,0.68,47.39,0.0,0.015565,0.259642,0.135895,0.985263,0.44,0.958,0.658419
mixed_CS=T,cyclic,0.95,30,0.755,12.206667,0.0,0.127218,0.704077,0.114832,0.862105,0.54,0.846,0.682303
Unlu_CS=T,cyclic,0.95,30,0.755,17.41,0.0,0.016887,0.323223,0.235466,0.947368,0.26,0.913,0.496302
mixed_CS=T,cyclic,0.95,50,0.755,12.883333,0.0,0.368264,0.812865,0.117235,0.843158,0.78,0.84,0.810964
Unlu_CS=T,cyclic,0.95,50,0.755,25.653333,0.0,0.016915,0.331763,0.209849,0.984211,0.3,0.95,0.543381
mixed_CS=T,cyclic,0.95,80,0.755,13.083333,0.0,0.016198,0.361295,0.060959,0.912632,0.9,0.912,0.906294
Unlu_CS=T,cyclic,0.95,80,0.755,51.254181,0.003333,0.022727,0.328953,0.148187,0.995789,0.34,0.963,0.581866
mixed_CS=T,cyclic,0.95,30,0.83,9.613333,0.0,0.149835,0.709366,0.131206,0.832632,0.58,0.82,0.694929
Unlu_CS=T,cyclic,0.95,30,0.83,18.113333,0.0,0.020992,0.372617,0.260372,0.953684,0.26,0.919,0.497954
mixed_CS=T,cyclic,0.95,50,0.83,11.663333,0.0,0.088402,0.73719,0.080576,0.909474,0.72,0.9,0.80921
Unlu_CS=T,cyclic,0.95,50,0.83,31.19,0.0,0.055179,0.515152,0.142992,0.988421,0.34,0.956,0.57971
mixed_CS=T,cyclic,0.95,80,0.83,14.85,0.0,0.015813,0.38573,0.04382,0.942105,0.88,0.939,0.910523
Unlu_CS=T,cyclic,0.95,80,0.83,42.969388,0.02,0.062975,0.51281,0.110974,0.989474,0.54,0.967,0.730969
mixed_CS=T,cyclic,0.95,30,0.905,11.023333,0.0,0.235675,0.76135,0.108297,0.906316,0.6,0.891,0.737421
Unlu_CS=T,cyclic,0.95,30,0.905,16.143333,0.0,0.017989,0.352562,0.234386,0.964211,0.22,0.927,0.460572
mixed_CS=T,cyclic,0.95,50,0.905,11.52,0.0,0.328017,0.861129,0.095039,0.886316,0.74,0.879,0.80986
Unlu_CS=T,cyclic,0.95,50,0.905,25.376667,0.0,0.22292,0.674683,0.130681,0.983158,0.52,0.96,0.715012
mixed_CS=T,cyclic,0.95,80,0.905,13.156667,0.0,0.012617,0.333554,0.030663,0.971579,0.86,0.966,0.914089
Unlu_CS=T,cyclic,0.95,80,0.905,39.383838,0.01,0.016171,0.35168,0.090536,0.997895,0.46,0.971,0.677519
mixed_CS=T,cyclic,0.95,30,0.98,8.963333,0.0,0.248898,0.829008,0.098154,0.897895,0.58,0.882,0.72165
Unlu_CS=T,cyclic,0.95,30,0.98,19.18,0.0,0.053774,0.5173,0.182232,0.985263,0.3,0.951,0.543672
mixed_CS=T,cyclic,0.95,50,0.98,11.536667,0.0,0.235537,0.842837,0.074846,0.924211,0.76,0.916,0.838093
Unlu_CS=T,cyclic,0.95,50,0.98,34.426667,0.0,0.044435,0.502369,0.156324,0.991579,0.38,0.961,0.61384
mixed_CS=T,cyclic,0.95,80,0.98,12.52,0.0,0.014628,0.33416,0.035449,0.943158,0.92,0.942,0.931507
Unlu_CS=T,cyclic,0.95,80,0.98,42.782609,0.003333,0.223664,0.599862,0.086261,0.997895,0.48,0.972,0.692091
mixed_CS=T,cyclic,0.95,30,1.055,11.123333,0.0,0.469945,0.857796,0.102299,0.905263,0.66,0.893,0.772964
Unlu_CS=T,cyclic,0.95,30,1.055,19.863333,0.0,0.03832,0.556033,0.16003,0.990526,0.3,0.956,0.545122
mixed_CS=T,cyclic,0.95,50,1.055,10.23,0.0,0.221708,0.860964,0.064012,0.931579,0.88,0.929,0.905422
Unlu_CS=T,cyclic,0.95,50,1.055,28.046667,0.0,0.385482,0.707521,0.122826,0.995789,0.48,0.97,0.69136
mixed_CS=T,cyclic,0.95,80,1.055,13.64,0.0,0.013444,0.333168,0.019492,0.977895,0.96,0.977,0.968906
Unlu_CS=T,cyclic,0.95,80,1.055,43.493333,0.0,0.125234,0.57416,0.133577,0.996842,0.48,0.971,0.691725
mixed_CS=T,cyclic,0.95,30,1.13,9.07,0.0,0.345537,0.869504,0.07911,0.907368,0.74,0.899,0.819422
Unlu_CS=T,cyclic,0.95,30,1.13,21.48,0.0,0.180303,0.652231,0.134408,0.992632,0.32,0.959,0.563597
mixed_CS=T,cyclic,0.95,50,1.13,11.863333,0.0,0.301377,0.864821,0.045747,0.965263,0.84,0.959,0.900456
Unlu_CS=T,cyclic,0.95,50,1.13,28.796667,0.0,0.274821,0.690358,0.106902,0.997895,0.4,0.968,0.631789
mixed_CS=T,cyclic,0.95,80,1.13,13.946667,0.0,0.015372,0.38595,0.01762,0.982105,0.86,0.976,0.919027
Unlu_CS=T,cyclic,0.95,80,1.13,44.889632,0.003333,0.247135,0.59719,0.11272,1.0,0.52,0.976,0.72111
mixed_CS=T,cyclic,0.95,30,1.205,8.396667,0.0,0.360551,0.876391,0.080512,0.914737,0.8,0.909,0.855447
Unlu_CS=T,cyclic,0.95,30,1.205,20.436667,0.0,0.27562,0.694518,0.139916,0.989474,0.36,0.958,0.596834
mixed_CS=T,cyclic,0.95,50,1.205,8.946667,0.0,0.145868,0.88135,0.044043,0.944211,0.88,0.941,0.91154
Unlu_CS=T,cyclic,0.95,50,1.205,29.483333,0.0,0.298898,0.717052,0.159179,0.993684,0.48,0.968,0.690629
mixed_CS=T,cyclic,0.95,80,1.205,10.95,0.0,0.019146,0.479394,0.018606,0.968421,0.96,0.968,0.964201
Unlu_CS=T,cyclic,0.95,80,1.205,40.79,0.0,0.377658,0.647576,0.093169,1.0,0.64,0.982,0.8
mixed_CS=T,cyclic,0.95,30,1.28,9.136667,0.0,0.554298,0.896887,0.075558,0.955789,0.82,0.949,0.885295
Unlu_CS=T,cyclic,0.95,30,1.28,18.546667,0.0,0.129118,0.720826,0.139308,0.995789,0.38,0.965,0.615142
mixed_CS=T,cyclic,0.95,50,1.28,11.466667,0.0,0.529449,0.892369,0.025198,0.976842,0.9,0.973,0.937634
Unlu_CS=T,cyclic,0.95,50,1.28,26.543333,0.0,0.440496,0.74741,0.098486,1.0,0.52,0.976,0.72111
mixed_CS=T,cyclic,0.95,80,1.28,13.17,0.0,0.016556,0.439091,0.006679,0.992632,1.0,0.993,0.996309
Unlu_CS=T,cyclic,0.95,80,1.28,37.996667,0.0,0.374986,0.67314,0.088882,1.0,0.6,0.98,0.774597
mixed_CS=T,cyclic,0.95,30,1.355,8.746667,0.0,0.452011,0.916006,0.058324,0.957895,0.84,0.952,0.897013
Unlu_CS=T,cyclic,0.95,30,1.355,18.593333,0.0,0.227328,0.750028,0.138798,0.994737,0.42,0.966,0.646366
mixed_CS=T,cyclic,0.95,50,1.355,9.45,0.0,0.35989,0.905592,0.040382,0.943158,0.9,0.941,0.921326
Unlu_CS=T,cyclic,0.95,50,1.355,25.5,0.0,0.386446,0.761708,0.099869,0.994737,0.62,0.976,0.785326
mixed_CS=T,cyclic,0.95,80,1.355,15.823333,0.0,0.015978,0.412176,0.004341,0.997895,0.96,0.996,0.978764
Unlu_CS=T,cyclic,0.95,80,1.355,43.3,0.0,0.313747,0.622011,0.096744,1.0,0.56,0.978,0.748331
mixed_CS=T,cyclic,0.95,30,1.43,8.293333,0.0,0.392562,0.894628,0.039485,0.971579,0.82,0.964,0.892578
Unlu_CS=T,cyclic,0.95,30,1.43,18.216667,0.0,0.390193,0.798595,0.133103,0.995789,0.46,0.969,0.676804
mixed_CS=T,cyclic,0.95,50,1.43,9.303333,0.0,0.481295,0.910799,0.037694,0.953684,0.96,0.954,0.956837
Unlu_CS=T,cyclic,0.95,50,1.43,23.946667,0.0,0.590964,0.800909,0.092617,1.0,0.72,0.986,0.848528
mixed_CS=T,cyclic,0.95,80,1.43,11.313333,0.0,0.019614,0.467658,0.012453,0.976842,0.96,0.976,0.968384
Unlu_CS=T,cyclic,0.95,80,1.43,44.373333,0.0,0.445207,0.631983,0.09845,1.0,0.56,0.978,0.748331
mixed_CS=T,cyclic,0.95,30,1.505,8.056667,0.0,0.627052,0.930689,0.055366,0.967368,0.88,0.963,0.922651
Unlu_CS=T,cyclic,0.95,30,1.505,18.813333,0.0,0.134904,0.752424,0.156387,0.997895,0.38,0.967,0.615792
mixed_CS=T,cyclic,0.95,50,1.505,12.026667,0.0,0.395289,0.881185,0.011418,0.991579,0.92,0.988,0.955119
Unlu_CS=T,cyclic,0.95,50,1.505,25.84,0.0,0.538815,0.781185,0.115582,1.0,0.62,0.981,0.787401
mixed_CS=T,cyclic,0.95,80,1.505,12.173333,0.0,0.021625,0.441983,0.008402,0.989474,0.98,0.989,0.984725
Unlu_CS=T,cyclic,0.95,80,1.505,38.383333,0.0,0.491129,0.679339,0.128487,1.0,0.48,0.974,0.69282
mixed_CS=T,cyclic,0.95,30,1.58,7.67,0.0,0.501791,0.923168,0.03407,0.976842,0.88,0.972,0.927158
Unlu_CS=T,cyclic,0.95,30,1.58,16.723333,0.0,0.549008,0.843251,0.100503,0.997895,0.56,0.976,0.747543
mixed_CS=T,cyclic,0.95,50,1.58,10.026667,0.0,0.449504,0.908209,0.017567,0.983158,0.96,0.982,0.97151
Unlu_CS=T,cyclic,0.95,50,1.58,22.826667,0.0,0.602231,0.812066,0.0986,0.998947,0.64,0.981,0.799579
mixed_CS=T,cyclic,0.95,80,1.58,10.083333,0.0,0.020689,0.527548,0.008475,0.986316,1.0,0.987,0.993134
Unlu_CS=T,cyclic,0.95,80,1.58,29.833333,0.0,0.31303,0.737245,0.083341,1.0,0.66,0.983,0.812404
mixed_CS=T,cyclic,0.95,30,1.655,7.773333,0.0,0.600358,0.929807,0.039515,0.973684,0.8,0.965,0.88258
Unlu_CS=T,cyclic,0.95,30,1.655,17.183333,0.0,0.377493,0.838017,0.170341,1.0,0.4,0.97,0.632456
mixed_CS=T,cyclic,0.95,50,1.655,8.423333,0.0,0.32551,0.912672,0.022682,0.966316,1.0,0.968,0.983014
Unlu_CS=T,cyclic,0.95,50,1.655,22.083333,0.0,0.614683,0.819945,0.107205,1.0,0.6,0.98,0.774597
mixed_CS=T,cyclic,0.95,80,1.655,11.66,0.0,0.021074,0.43416,0.003926,0.996842,1.0,0.997,0.99842
Unlu_CS=T,cyclic,0.95,80,1.655,39.666667,0.0,0.389394,0.67011,0.102459,0.998947,0.56,0.977,0.747938
mixed_CS=T,cyclic,0.95,30,1.73,7.47,0.0,0.583333,0.933058,0.041701,0.981053,0.88,0.976,0.929154
Unlu_CS=T,cyclic,0.95,30,1.73,16.606667,0.0,0.619614,0.85595,0.094329,1.0,0.6,0.98,0.774597
mixed_CS=T,cyclic,0.95,50,1.73,8.893333,0.0,0.637631,0.925785,0.015259,0.988421,0.98,0.988,0.984201
Unlu_CS=T,cyclic,0.95,50,1.73,27.693333,0.0,0.589229,0.772727,0.135549,1.0,0.56,0.978,0.748331
mixed_CS=T,cyclic,0.95,80,1.73,12.796667,0.0,0.025785,0.560193,0.002165,0.996842,1.0,0.997,0.99842
Unlu_CS=T,cyclic,0.95,80,1.73,42.963333,0.0,0.388237,0.639366,0.129438,1.0,0.52,0.976,0.72111
mixed_CS=T,cyclic,0.95,30,1.805,7.053333,0.0,0.716667,0.942287,0.033996,0.985263,0.86,0.979,0.920503
Unlu_CS=T,cyclic,0.95,30,1.805,16.256667,0.0,0.56719,0.858182,0.145314,1.0,0.52,0.976,0.72111
mixed_CS=T,cyclic,0.95,50,1.805,8.486667,0.0,0.670496,0.930358,0.012187,0.983158,0.98,0.983,0.981578
Unlu_CS=T,cyclic,0.95,50,1.805,26.566667,0.0,0.486997,0.776722,0.106048,0.998947,0.62,0.98,0.786986
mixed_CS=T,cyclic,0.95,80,1.805,10.626667,0.0,0.018788,0.821818,0.00478,0.992632,1.0,0.993,0.996309
Unlu_CS=T,cyclic,0.95,80,1.805,39.036667,0.0,0.490523,0.677245,0.108804,1.0,0.6,0.98,0.774597
mixed_CS=T,cyclic,0.9,30,0.005,5.833333,0.0,0.053251,0.391515,0.169543,0.575556,0.38,0.556,0.467666
Unlu_CS=T,cyclic,0.9,30,0.005,14.8,0.0,0.06854,0.307135,0.685904,0.655556,0.23,0.613,0.388301
mixed_CS=T,cyclic,0.9,50,0.005,3.283333,0.0,0.049862,0.531901,0.175157,0.445556,0.48,0.449,0.462457
Unlu_CS=T,cyclic,0.9,50,0.005,14.736667,0.0,0.053884,0.236722,0.680472,0.755556,0.22,0.702,0.407704
mixed_CS=T,cyclic,0.9,80,0.005,2.98,0.0,0.071543,0.591102,0.177645,0.423333,0.58,0.439,0.495513
Unlu_CS=T,cyclic,0.9,80,0.005,5.926667,0.0,0.045344,0.465289,0.684999,0.505556,0.44,0.499,0.47164
mixed_CS=T,cyclic,0.9,30,0.08,9.57,0.0,0.078072,0.403526,0.163943,0.597778,0.42,0.58,0.501065
Unlu_CS=T,cyclic,0.9,30,0.08,5.373333,0.0,0.055234,0.43719,0.680175,0.56,0.53,0.557,0.544794
mixed_CS=T,cyclic,0.9,50,0.08,6.34,0.0,0.028733,0.323278,0.166182,0.696667,0.39,0.666,0.521249
Unlu_CS=T,cyclic,0.9,50,0.08,4.616667,0.0,0.050634,0.44022,0.678794,0.561111,0.46,0.551,0.508046
mixed_CS=T,cyclic,0.9,80,0.08,3.946667,0.0,0.050606,0.481543,0.174037,0.506667,0.47,0.503,0.487989
Unlu_CS=T,cyclic,0.9,80,0.08,13.026756,0.003333,0.054848,0.363278,0.65233,0.635556,0.34,0.606,0.464854
mixed_CS=T,cyclic,0.9,30,0.155,6.523333,0.0,0.064821,0.416006,0.171827,0.585556,0.47,0.574,0.524606
Unlu_CS=T,cyclic,0.9,30,0.155,4.256667,0.0,0.039835,0.407466,0.682302,0.557778,0.39,0.541,0.466405
mixed_CS=T,cyclic,0.9,50,0.155,3.886667,0.0,0.074821,0.588485,0.173693,0.433333,0.66,0.456,0.53479
Unlu_CS=T,cyclic,0.9,50,0.155,6.666667,0.0,0.064518,0.433554,0.681013,0.55,0.43,0.538,0.486313
mixed_CS=T,cyclic,0.9,80,0.155,3.913333,0.0,0.023829,0.385207,0.160097,0.643333,0.55,0.634,0.594839
Unlu_CS=T,cyclic,0.9,80,0.155,4.383333,0.0,0.025482,0.358072,0.653571,0.647778,0.45,0.628,0.539907
mixed_CS=T,cyclic,0.9,30,0.23,3.356667,0.0,0.042039,0.459091,0.168764,0.547778,0.52,0.545,0.533708
Unlu_CS=T,cyclic,0.9,30,0.23,7.253333,0.0,0.030193,0.295344,0.605863,0.725556,0.35,0.688,0.503929
mixed_CS=T,cyclic,0.9,50,0.23,3.536667,0.0,0.043939,0.511267,0.173489,0.506667,0.52,0.508,0.51329
Unlu_CS=T,cyclic,0.9,50,0.23,5.883333,0.0,0.0173,0.272755,0.549408,0.778889,0.27,0.728,0.458585
mixed_CS=T,cyclic,0.9,80,0.23,3.533333,0.0,0.023884,0.423884,0.16988,0.606667,0.71,0.617,0.656303
Unlu_CS=T,cyclic,0.9,80,0.23,15.52349,0.006667,0.021212,0.200523,0.554643,0.83,0.34,0.781,0.531225
mixed_CS=T,cyclic,0.9,30,0.305,8.023333,0.0,0.085152,0.455152,0.168103,0.574444,0.44,0.561,0.502748
Unlu_CS=T,cyclic,0.9,30,0.305,5.773333,0.0,0.018898,0.290771,0.568755,0.793333,0.25,0.739,0.445346
mixed_CS=T,cyclic,0.9,50,0.305,14.566667,0.0,0.095482,0.448705,0.166,0.654444,0.4,0.629,0.511642
Unlu_CS=T,cyclic,0.9,50,0.305,9.256667,0.0,0.016722,0.261019,0.510971,0.816667,0.37,0.772,0.549697
mixed_CS=T,cyclic,0.9,80,0.305,8.436667,0.0,0.020634,0.341267,0.131547,0.775556,0.67,0.765,0.720848
Unlu_CS=T,cyclic,0.9,80,0.305,10.86,0.0,0.016474,0.249642,0.446765,0.827778,0.47,0.792,0.623743
mixed_CS=T,cyclic,0.9,30,0.38,3.973333,0.0,0.044904,0.552342,0.175918,0.523333,0.61,0.532,0.565007
Unlu_CS=T,cyclic,0.9,30,0.38,6.396667,0.0,0.018926,0.28978,0.560155,0.787778,0.26,0.735,0.452573
mixed_CS=T,cyclic,0.9,50,0.38,12.333333,0.0,0.069945,0.474793,0.150168,0.774444,0.38,0.735,0.542484
Unlu_CS=T,cyclic,0.9,50,0.38,12.503333,0.0,0.016501,0.254931,0.46042,0.85,0.27,0.792,0.479062
mixed_CS=T,cyclic,0.9,80,0.38,6.746667,0.0,0.018375,0.324904,0.125176,0.78,0.75,0.777,0.764853
Unlu_CS=T,cyclic,0.9,80,0.38,19.266667,0.0,0.014298,0.246612,0.326587,0.898889,0.58,0.867,0.72205
mixed_CS=T,cyclic,0.9,30,0.455,12.86,0.0,0.038017,0.393994,0.152511,0.814444,0.3,0.763,0.494301
Unlu_CS=T,cyclic,0.9,30,0.455,12.113333,0.0,0.016777,0.242176,0.46042,0.862222,0.26,0.802,0.473474
mixed_CS=T,cyclic,0.9,50,0.455,14.4,0.0,0.081763,0.554215,0.140782,0.785556,0.55,0.762,0.657309
Unlu_CS=T,cyclic,0.9,50,0.455,16.936667,0.0,0.015069,0.227355,0.411994,0.915556,0.2,0.844,0.427915
mixed_CS=T,cyclic,0.9,80,0.455,6.713333,0.0,0.017713,0.364601,0.119918,0.765556,0.84,0.773,0.801914
Unlu_CS=T,cyclic,0.9,80,0.455,38.271186,0.016667,0.016033,0.233994,0.279988,0.956667,0.47,0.908,0.670547
mixed_CS=T,cyclic,0.9,30,0.53,12.799331,0.003333,0.099972,0.545895,0.149326,0.831111,0.46,0.794,0.618313
Unlu_CS=T,cyclic,0.9,30,0.53,8.923333,0.0,0.016612,0.281515,0.449354,0.857778,0.28,0.8,0.490079
mixed_CS=T,cyclic,0.9,50,0.53,16.096667,0.0,0.076006,0.593471,0.131254,0.862222,0.47,0.823,0.636588
Unlu_CS=T,cyclic,0.9,50,0.53,19.956667,0.0,0.013416,0.259697,0.457721,0.915556,0.23,0.847,0.458888
mixed_CS=T,cyclic,0.9,80,0.53,18.316667,0.0,0.016446,0.322452,0.079218,0.918889,0.74,0.901,0.824608
Unlu_CS=T,cyclic,0.9,80,0.53,35.100334,0.003333,0.014298,0.273636,0.211559,0.966667,0.56,0.926,0.735754
mixed_CS=T,cyclic,0.9,30,0.605,9.99,0.0,0.13416,0.674848,0.154,0.752222,0.64,0.741,0.693846
Unlu_CS=T,cyclic,0.9,30,0.605,12.483333,0.0,0.016639,0.289394,0.402941,0.908889,0.23,0.841,0.457214
mixed_CS=T,cyclic,0.9,50,0.605,15.363333,0.0,0.199036,0.721846,0.126931,0.847778,0.61,0.824,0.719128
Unlu_CS=T,cyclic,0.9,50,0.605,21.186667,0.0,0.015262,0.291818,0.329636,0.936667,0.27,0.87,0.502892
mixed_CS=T,cyclic,0.9,80,0.605,11.873333,0.0,0.01551,0.35865,0.080985,0.897778,0.81,0.889,0.85276
Unlu_CS=T,cyclic,0.9,80,0.605,32.903333,0.0,0.013802,0.241736,0.211626,0.972222,0.53,0.928,0.717829
mixed_CS=T,cyclic,0.9,30,0.68,11.87,0.0,0.150496,0.676061,0.145984,0.822222,0.6,0.8,0.702377
Unlu_CS=T,cyclic,0.9,30,0.68,16.31,0.0,0.016501,0.287107,0.344596,0.95,0.28,0.883,0.515752
mixed_CS=T,cyclic,0.9,50,0.68,12.983333,0.0,0.190799,0.762893,0.117156,0.857778,0.77,0.849,0.812705
Unlu_CS=T,cyclic,0.9,50,0.68,25.643333,0.0,0.01584,0.330386,0.304582,0.968889,0.32,0.904,0.556816
