Pattern Name,Imbalanced Ratio,Time Window,Abnormality Value,mixed_CS=T,mixed_CS=T_Unlu
upshift,0.95,30,0.005,12.0,17.0
upshift,0.95,30,0.005,25.0,1.0
upshift,0.95,30,0.005,7.0,8.0
upshift,0.95,30,0.005,1.0,2.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,7.0,1.0
upshift,0.95,30,0.005,5.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,7.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,20.0,3.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,11.0,1.0
upshift,0.95,30,0.005,8.0,7.0
upshift,0.95,30,0.005,1.0,11.0
upshift,0.95,30,0.005,3.0,12.0
upshift,0.95,30,0.005,1.0,2.0
upshift,0.95,30,0.005,7.0,1.0
upshift,0.95,30,0.005,9.0,1.0
upshift,0.95,30,0.005,6.0,1.0
upshift,0.95,30,0.005,2.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,12.0,8.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,4.0,1.0
upshift,0.95,30,0.005,11.0,10.0
upshift,0.95,30,0.005,2.0,1.0
upshift,0.95,30,0.005,1.0,4.0
upshift,0.95,30,0.005,6.0,12.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,12.0,1.0
upshift,0.95,30,0.005,3.0,1.0
upshift,0.95,30,0.005,1.0,2.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,4.0,13.0
upshift,0.95,30,0.005,5.0,24.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,4.0
upshift,0.95,30,0.005,1.0,4.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,2.0
upshift,0.95,30,0.005,1.0,4.0
upshift,0.95,30,0.005,16.0,2.0
upshift,0.95,30,0.005,1.0,5.0
upshift,0.95,30,0.005,9.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,5.0,1.0
upshift,0.95,30,0.005,15.0,1.0
upshift,0.95,30,0.005,1.0,5.0
upshift,0.95,30,0.005,4.0,1.0
upshift,0.95,30,0.005,29.0,49.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,13.0,14.0
upshift,0.95,30,0.005,4.0,1.0
upshift,0.95,30,0.005,3.0,1.0
upshift,0.95,30,0.005,7.0,1.0
upshift,0.95,30,0.005,10.0,1.0
upshift,0.95,30,0.005,2.0,1.0
upshift,0.95,30,0.005,17.0,1.0
upshift,0.95,30,0.005,6.0,7.0
upshift,0.95,30,0.005,6.0,1.0
upshift,0.95,30,0.005,21.0,24.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,24.0
upshift,0.95,30,0.005,7.0,1.0
upshift,0.95,30,0.005,5.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,15.0
upshift,0.95,30,0.005,2.0,1.0
upshift,0.95,30,0.005,1.0,16.0
upshift,0.95,30,0.005,4.0,1.0
upshift,0.95,30,0.005,6.0,1.0
upshift,0.95,30,0.005,1.0,3.0
upshift,0.95,30,0.005,10.0,1.0
upshift,0.95,30,0.005,19.0,6.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,6.0,1.0
upshift,0.95,30,0.005,3.0,1.0
upshift,0.95,30,0.005,7.0,8.0
upshift,0.95,30,0.005,7.0,1.0
upshift,0.95,30,0.005,1.0,2.0
upshift,0.95,30,0.005,5.0,3.0
upshift,0.95,30,0.005,8.0,1.0
upshift,0.95,30,0.005,15.0,1.0
upshift,0.95,30,0.005,3.0,1.0
upshift,0.95,30,0.005,4.0,1.0
upshift,0.95,30,0.005,8.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,11.0
upshift,0.95,30,0.005,1.0,33.0
upshift,0.95,30,0.005,7.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,8.0,1.0
upshift,0.95,30,0.005,1.0,11.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,2.0,1.0
upshift,0.95,30,0.005,7.0,1.0
upshift,0.95,30,0.005,15.0,1.0
upshift,0.95,30,0.005,2.0,1.0
upshift,0.95,30,0.005,4.0,1.0
upshift,0.95,30,0.005,6.0,1.0
upshift,0.95,30,0.005,4.0,1.0
upshift,0.95,30,0.005,2.0,1.0
upshift,0.95,30,0.005,1.0,17.0
upshift,0.95,30,0.005,5.0,1.0
upshift,0.95,30,0.005,2.0,1.0
upshift,0.95,30,0.005,4.0,3.0
upshift,0.95,30,0.005,1.0,15.0
upshift,0.95,30,0.005,10.0,2.0
upshift,0.95,30,0.005,25.0,1.0
upshift,0.95,30,0.005,2.0,1.0
upshift,0.95,30,0.005,7.0,1.0
upshift,0.95,30,0.005,1.0,2.0
upshift,0.95,30,0.005,6.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,9.0,4.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,6.0
upshift,0.95,30,0.005,3.0,1.0
upshift,0.95,30,0.005,3.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,9.0,18.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,2.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,7.0,3.0
upshift,0.95,30,0.005,1.0,2.0
upshift,0.95,30,0.005,1.0,6.0
upshift,0.95,30,0.005,14.0,1.0
upshift,0.95,30,0.005,18.0,1.0
upshift,0.95,30,0.005,1.0,3.0
upshift,0.95,30,0.005,4.0,1.0
upshift,0.95,30,0.005,15.0,6.0
upshift,0.95,30,0.005,2.0,1.0
upshift,0.95,30,0.005,24.0,23.0
upshift,0.95,30,0.005,6.0,1.0
upshift,0.95,30,0.005,5.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,12.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,14.0
upshift,0.95,30,0.005,19.0,10.0
upshift,0.95,30,0.005,5.0,1.0
upshift,0.95,30,0.005,35.0,1.0
upshift,0.95,30,0.005,1.0,24.0
upshift,0.95,30,0.005,1.0,8.0
upshift,0.95,30,0.005,9.0,1.0
upshift,0.95,30,0.005,7.0,1.0
upshift,0.95,30,0.005,2.0,2.0
upshift,0.95,30,0.005,4.0,1.0
upshift,0.95,30,0.005,4.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,5.0,1.0
upshift,0.95,30,0.005,1.0,3.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,8.0,1.0
upshift,0.95,30,0.005,2.0,5.0
upshift,0.95,30,0.005,4.0,1.0
upshift,0.95,30,0.005,1.0,15.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,10.0
upshift,0.95,30,0.005,2.0,1.0
upshift,0.95,30,0.005,17.0,1.0
upshift,0.95,30,0.005,1.0,33.0
upshift,0.95,30,0.005,1.0,2.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,7.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,3.0,1.0
upshift,0.95,30,0.005,9.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,17.0,2.0
upshift,0.95,30,0.005,7.0,1.0
upshift,0.95,30,0.005,5.0,1.0
upshift,0.95,30,0.005,1.0,2.0
upshift,0.95,30,0.005,1.0,4.0
upshift,0.95,30,0.005,5.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,3.0,1.0
upshift,0.95,30,0.005,10.0,1.0
upshift,0.95,30,0.005,5.0,1.0
upshift,0.95,30,0.005,20.0,1.0
upshift,0.95,30,0.005,1.0,15.0
upshift,0.95,30,0.005,1.0,17.0
upshift,0.95,30,0.005,2.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,10.0
upshift,0.95,30,0.005,4.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,7.0,1.0
upshift,0.95,30,0.005,8.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,7.0,1.0
upshift,0.95,30,0.005,3.0,3.0
upshift,0.95,30,0.005,1.0,6.0
upshift,0.95,30,0.005,3.0,4.0
upshift,0.95,30,0.005,5.0,1.0
upshift,0.95,30,0.005,21.0,1.0
upshift,0.95,30,0.005,13.0,15.0
upshift,0.95,30,0.005,5.0,1.0
upshift,0.95,30,0.005,15.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,2.0,1.0
upshift,0.95,30,0.005,2.0,1.0
upshift,0.95,30,0.005,13.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,14.0,1.0
upshift,0.95,30,0.005,12.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,3.0,7.0
upshift,0.95,30,0.005,15.0,1.0
upshift,0.95,30,0.005,17.0,1.0
upshift,0.95,30,0.005,13.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,4.0,1.0
upshift,0.95,30,0.005,7.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,25.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,11.0,1.0
upshift,0.95,30,0.005,3.0,1.0
upshift,0.95,30,0.005,16.0,1.0
upshift,0.95,30,0.005,12.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,10.0,1.0
upshift,0.95,30,0.005,1.0,16.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,7.0,1.0
upshift,0.95,30,0.005,1.0,8.0
upshift,0.95,30,0.005,10.0,1.0
upshift,0.95,30,0.005,1.0,17.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,3.0,1.0
upshift,0.95,30,0.005,6.0,1.0
upshift,0.95,30,0.005,4.0,1.0
upshift,0.95,30,0.005,19.0,1.0
upshift,0.95,30,0.005,9.0,15.0
upshift,0.95,30,0.005,1.0,2.0
upshift,0.95,30,0.005,4.0,1.0
upshift,0.95,30,0.005,12.0,1.0
upshift,0.95,30,0.005,5.0,1.0
upshift,0.95,30,0.005,11.0,1.0
upshift,0.95,30,0.005,1.0,2.0
upshift,0.95,30,0.005,42.0,1.0
upshift,0.95,30,0.005,2.0,1.0
upshift,0.95,30,0.005,1.0,2.0
upshift,0.95,30,0.005,4.0,3.0
upshift,0.95,30,0.005,5.0,6.0
upshift,0.95,30,0.005,10.0,1.0
upshift,0.95,30,0.005,3.0,4.0
upshift,0.95,30,0.005,5.0,1.0
upshift,0.95,30,0.005,1.0,17.0
upshift,0.95,30,0.005,11.0,1.0
upshift,0.95,30,0.005,9.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,5.0,1.0
upshift,0.95,30,0.005,1.0,19.0
upshift,0.95,30,0.005,5.0,6.0
upshift,0.95,30,0.005,6.0,8.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,2.0,1.0
upshift,0.95,30,0.005,5.0,1.0
upshift,0.95,30,0.005,28.0,22.0
upshift,0.95,30,0.005,4.0,1.0
upshift,0.95,30,0.005,35.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,2.0,1.0
upshift,0.95,30,0.005,13.0,1.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,1.0,4.0
upshift,0.95,30,0.005,2.0,1.0
upshift,0.95,30,0.005,3.0,18.0
upshift,0.95,30,0.005,4.0,2.0
upshift,0.95,30,0.005,1.0,1.0
upshift,0.95,30,0.005,11.0,1.0
